pairID,minute,touching,treatment,hive
A_A1,30,1,Ringers,Garden
A_A2,30,1,Ringers,Garden
A_A3,30,0,Ringers,Garden
A_A4,30,0,Ringers,Garden
A_A5,30,1,Ringers,Garden
A_A6,30,1,Ringers,Garden
A_A7,30,1,Ringers,Garden
A_A8,30,1,Ringers,Garden
A_A9,30,0,Ringers,Garden
A_A10,30,1,Ringers,Garden
A_A11,30,1,Ringers,Garden
A_A12,30,1,Ringers,Garden
A_A13,30,0,Ringers,Garden
A_A14,30,1,Ringers,Garden
A_A15,30,0,Ringers,Garden
A_A16,30,1,Ringers,Garden
A_A17,30,1,Ringers,Garden
A_A18,30,1,Ringers,Garden
A_A19,30,1,Ringers,Garden
A_A20,30,1,Ringers,Garden
A_A21,30,1,Ringers,Garden
A_A22,30,0,Ringers,Garden
A_A23,30,1,Ringers,Garden
A_A24,30,1,Ringers,Garden
A_A25,30,0,Ringers,Garden
A_A26,30,1,Ringers,Garden
A_A27,30,1,Ringers,Garden
A_A28,30,1,Ringers,Garden
A_A29,30,1,Ringers,Garden
A_A30,30,1,Ringers,Garden
A_A31,30,1,Ringers,Garden
A_A32,30,1,Ringers,Garden
A_B1,30,1,Ringers,Garden
A_B2,30,1,Ringers,Garden
A_B3,30,1,Ringers,Garden
A_B4,30,1,Ringers,Garden
A_B5,30,1,Ringers,Garden
A_B6,30,1,Ringers,Garden
A_B7,30,1,Ringers,Garden
A_B8,30,1,Ringers,Garden
A_B9,30,1,Ringers,Garden
A_B10,30,1,Ringers,Garden
A_B11,30,1,Ringers,Garden
A_B12,30,0,Ringers,Garden
A_B13,30,1,Ringers,Garden
A_B14,30,1,Ringers,Garden
A_B15,30,0,Ringers,Garden
A_B16,30,1,Ringers,Garden
A_B17,30,1,Ringers,Garden
A_B18,30,0,Ringers,Garden
A_B19,30,1,Ringers,Garden
A_B20,30,1,Ringers,Garden
A_B21,30,0,Ringers,Garden
A_B22,30,1,Ringers,Garden
A_B23,30,0,Ringers,Garden
A_B24,30,1,Ringers,Garden
A_B25,30,1,Ringers,Garden
A_B26,30,1,Ringers,Garden
A_B27,30,1,Ringers,Garden
A_B28,30,1,Ringers,Garden
A_B29,30,1,Ringers,Garden
A_B30,30,1,Ringers,Garden
A_B31,30,0,Ringers,Garden
A_B32,30,1,Ringers,Garden
A_B33,30,1,Ringers,Garden
A_B34,30,1,Ringers,Garden
A_B35,30,1,Ringers,Garden
A_B36,30,0,Ringers,Garden
A_B37,30,1,Ringers,Garden
A_B38,30,1,Ringers,Garden
A_C1,30,1,LPS,Garden
A_C2,30,1,LPS,Garden
A_C3,30,0,LPS,Garden
A_C4,30,0,LPS,Garden
A_C5,30,0,LPS,Garden
A_C6,30,1,LPS,Garden
A_C7,30,1,LPS,Garden
A_C8,30,1,LPS,Garden
A_C9,30,1,LPS,Garden
A_C10,30,1,LPS,Garden
A_C11,30,1,LPS,Garden
A_C12,30,1,LPS,Garden
A_C13,30,1,LPS,Garden
A_C14,30,1,LPS,Garden
A_C15,30,1,LPS,Garden
A_C16,30,1,LPS,Garden
A_C17,30,1,LPS,Garden
A_C18,30,1,LPS,Garden
A_C19,30,1,LPS,Garden
A_C20,30,1,LPS,Garden
A_C21,30,1,LPS,Garden
A_C22,30,0,LPS,Garden
A_C23,30,1,LPS,Garden
A_C24,30,0,LPS,Garden
A_C25,30,1,LPS,Garden
A_C26,30,1,LPS,Garden
A_C27,30,0,LPS,Garden
A_C28,30,1,LPS,Garden
A_C29,30,1,LPS,Garden
A_C30,30,0,LPS,Garden
A_C31,30,0,LPS,Garden
A_C32,30,0,LPS,Garden
A_C33,30,1,LPS,Garden
A_C34,30,1,LPS,Garden
A_C35,30,1,LPS,Garden
A_C36,30,0,LPS,Garden
A_C37,30,1,LPS,Garden
A_C38,30,0,LPS,Garden
A_D1,30,1,LPS,Garden
A_D2,30,0,LPS,Garden
A_D3,30,1,LPS,Garden
A_D4,30,0,LPS,Garden
A_D5,30,1,LPS,Garden
A_D6,30,1,LPS,Garden
A_D7,30,0,LPS,Garden
A_D8,30,0,LPS,Garden
A_D9,30,1,LPS,Garden
A_D10,30,1,LPS,Garden
A_D11,30,1,LPS,Garden
A_D12,30,1,LPS,Garden
A_D13,30,0,LPS,Garden
A_D14,30,1,LPS,Garden
A_D15,30,0,LPS,Garden
A_D16,30,0,LPS,Garden
A_D17,30,1,LPS,Garden
A_D18,30,1,LPS,Garden
A_D19,30,0,LPS,Garden
A_D20,30,1,LPS,Garden
A_D21,30,1,LPS,Garden
A_D22,30,1,LPS,Garden
A_D23,30,1,LPS,Garden
A_D24,30,1,LPS,Garden
A_D25,30,0,LPS,Garden
A_D26,30,0,LPS,Garden
A_D27,30,0,LPS,Garden
A_D28,30,1,LPS,Garden
A_D29,30,1,LPS,Garden
A_D30,30,0,LPS,Garden
A_D31,30,1,LPS,Garden
A_D32,30,0,LPS,Garden
A_A1,32,1,Ringers,Garden
A_A2,32,1,Ringers,Garden
A_A3,32,1,Ringers,Garden
A_A4,32,0,Ringers,Garden
A_A5,32,1,Ringers,Garden
A_A6,32,1,Ringers,Garden
A_A7,32,1,Ringers,Garden
A_A8,32,1,Ringers,Garden
A_A9,32,0,Ringers,Garden
A_A10,32,1,Ringers,Garden
A_A11,32,1,Ringers,Garden
A_A12,32,1,Ringers,Garden
A_A13,32,0,Ringers,Garden
A_A14,32,1,Ringers,Garden
A_A15,32,1,Ringers,Garden
A_A16,32,1,Ringers,Garden
A_A17,32,1,Ringers,Garden
A_A18,32,1,Ringers,Garden
A_A19,32,0,Ringers,Garden
A_A20,32,1,Ringers,Garden
A_A21,32,1,Ringers,Garden
A_A22,32,0,Ringers,Garden
A_A23,32,1,Ringers,Garden
A_A24,32,1,Ringers,Garden
A_A25,32,1,Ringers,Garden
A_A26,32,1,Ringers,Garden
A_A27,32,1,Ringers,Garden
A_A28,32,1,Ringers,Garden
A_A29,32,1,Ringers,Garden
A_A30,32,0,Ringers,Garden
A_A31,32,0,Ringers,Garden
A_A32,32,1,Ringers,Garden
A_B1,32,1,Ringers,Garden
A_B2,32,1,Ringers,Garden
A_B3,32,1,Ringers,Garden
A_B4,32,1,Ringers,Garden
A_B5,32,1,Ringers,Garden
A_B6,32,1,Ringers,Garden
A_B7,32,1,Ringers,Garden
A_B8,32,1,Ringers,Garden
A_B9,32,1,Ringers,Garden
A_B10,32,1,Ringers,Garden
A_B11,32,1,Ringers,Garden
A_B12,32,0,Ringers,Garden
A_B13,32,1,Ringers,Garden
A_B14,32,1,Ringers,Garden
A_B15,32,0,Ringers,Garden
A_B16,32,0,Ringers,Garden
A_B17,32,1,Ringers,Garden
A_B18,32,1,Ringers,Garden
A_B19,32,1,Ringers,Garden
A_B20,32,1,Ringers,Garden
A_B21,32,0,Ringers,Garden
A_B22,32,1,Ringers,Garden
A_B23,32,1,Ringers,Garden
A_B24,32,1,Ringers,Garden
A_B25,32,1,Ringers,Garden
A_B26,32,1,Ringers,Garden
A_B27,32,1,Ringers,Garden
A_B28,32,1,Ringers,Garden
A_B29,32,1,Ringers,Garden
A_B30,32,1,Ringers,Garden
A_B31,32,0,Ringers,Garden
A_B32,32,1,Ringers,Garden
A_B33,32,1,Ringers,Garden
A_B34,32,1,Ringers,Garden
A_B35,32,1,Ringers,Garden
A_B36,32,0,Ringers,Garden
A_B37,32,1,Ringers,Garden
A_B38,32,1,Ringers,Garden
A_C1,32,1,LPS,Garden
A_C2,32,1,LPS,Garden
A_C3,32,0,LPS,Garden
A_C4,32,0,LPS,Garden
A_C5,32,0,LPS,Garden
A_C6,32,1,LPS,Garden
A_C7,32,1,LPS,Garden
A_C8,32,1,LPS,Garden
A_C9,32,1,LPS,Garden
A_C10,32,1,LPS,Garden
A_C11,32,1,LPS,Garden
A_C12,32,1,LPS,Garden
A_C13,32,1,LPS,Garden
A_C14,32,1,LPS,Garden
A_C15,32,1,LPS,Garden
A_C16,32,1,LPS,Garden
A_C17,32,1,LPS,Garden
A_C18,32,1,LPS,Garden
A_C19,32,1,LPS,Garden
A_C20,32,1,LPS,Garden
A_C21,32,1,LPS,Garden
A_C22,32,0,LPS,Garden
A_C23,32,1,LPS,Garden
A_C24,32,0,LPS,Garden
A_C25,32,1,LPS,Garden
A_C26,32,1,LPS,Garden
A_C27,32,0,LPS,Garden
A_C28,32,1,LPS,Garden
A_C29,32,1,LPS,Garden
A_C30,32,0,LPS,Garden
A_C31,32,0,LPS,Garden
A_C32,32,0,LPS,Garden
A_C33,32,1,LPS,Garden
A_C34,32,1,LPS,Garden
A_C35,32,1,LPS,Garden
A_C36,32,0,LPS,Garden
A_C37,32,1,LPS,Garden
A_C38,32,0,LPS,Garden
A_D1,32,1,LPS,Garden
A_D2,32,0,LPS,Garden
A_D3,32,1,LPS,Garden
A_D4,32,0,LPS,Garden
A_D5,32,0,LPS,Garden
A_D6,32,1,LPS,Garden
A_D7,32,1,LPS,Garden
A_D8,32,0,LPS,Garden
A_D9,32,1,LPS,Garden
A_D10,32,1,LPS,Garden
A_D11,32,1,LPS,Garden
A_D12,32,1,LPS,Garden
A_D13,32,1,LPS,Garden
A_D14,32,1,LPS,Garden
A_D15,32,0,LPS,Garden
A_D16,32,0,LPS,Garden
A_D17,32,1,LPS,Garden
A_D18,32,1,LPS,Garden
A_D19,32,0,LPS,Garden
A_D20,32,1,LPS,Garden
A_D21,32,1,LPS,Garden
A_D22,32,1,LPS,Garden
A_D23,32,1,LPS,Garden
A_D24,32,1,LPS,Garden
A_D25,32,0,LPS,Garden
A_D26,32,1,LPS,Garden
A_D27,32,1,LPS,Garden
A_D28,32,1,LPS,Garden
A_D29,32,1,LPS,Garden
A_D30,32,0,LPS,Garden
A_D31,32,1,LPS,Garden
A_D32,32,0,LPS,Garden
A_A1,34,1,Ringers,Garden
A_A2,34,1,Ringers,Garden
A_A3,34,0,Ringers,Garden
A_A4,34,0,Ringers,Garden
A_A5,34,1,Ringers,Garden
A_A6,34,1,Ringers,Garden
A_A7,34,1,Ringers,Garden
A_A8,34,1,Ringers,Garden
A_A9,34,0,Ringers,Garden
A_A10,34,1,Ringers,Garden
A_A11,34,1,Ringers,Garden
A_A12,34,1,Ringers,Garden
A_A13,34,1,Ringers,Garden
A_A14,34,1,Ringers,Garden
A_A15,34,1,Ringers,Garden
A_A16,34,1,Ringers,Garden
A_A17,34,1,Ringers,Garden
A_A18,34,0,Ringers,Garden
A_A19,34,1,Ringers,Garden
A_A20,34,1,Ringers,Garden
A_A21,34,1,Ringers,Garden
A_A22,34,0,Ringers,Garden
A_A23,34,1,Ringers,Garden
A_A24,34,1,Ringers,Garden
A_A25,34,0,Ringers,Garden
A_A26,34,1,Ringers,Garden
A_A27,34,0,Ringers,Garden
A_A28,34,1,Ringers,Garden
A_A29,34,1,Ringers,Garden
A_A30,34,1,Ringers,Garden
A_A31,34,1,Ringers,Garden
A_A32,34,1,Ringers,Garden
A_B1,34,1,Ringers,Garden
A_B2,34,1,Ringers,Garden
A_B3,34,1,Ringers,Garden
A_B4,34,0,Ringers,Garden
A_B5,34,1,Ringers,Garden
A_B6,34,0,Ringers,Garden
A_B7,34,0,Ringers,Garden
A_B8,34,1,Ringers,Garden
A_B9,34,1,Ringers,Garden
A_B10,34,1,Ringers,Garden
A_B11,34,1,Ringers,Garden
A_B12,34,0,Ringers,Garden
A_B13,34,1,Ringers,Garden
A_B14,34,1,Ringers,Garden
A_B15,34,1,Ringers,Garden
A_B16,34,0,Ringers,Garden
A_B17,34,1,Ringers,Garden
A_B18,34,0,Ringers,Garden
A_B19,34,0,Ringers,Garden
A_B20,34,1,Ringers,Garden
A_B21,34,0,Ringers,Garden
A_B22,34,1,Ringers,Garden
A_B23,34,1,Ringers,Garden
A_B24,34,1,Ringers,Garden
A_B25,34,1,Ringers,Garden
A_B26,34,1,Ringers,Garden
A_B27,34,1,Ringers,Garden
A_B28,34,1,Ringers,Garden
A_B29,34,0,Ringers,Garden
A_B30,34,1,Ringers,Garden
A_B31,34,0,Ringers,Garden
A_B32,34,1,Ringers,Garden
A_B33,34,1,Ringers,Garden
A_B34,34,1,Ringers,Garden
A_B35,34,1,Ringers,Garden
A_B36,34,0,Ringers,Garden
A_B37,34,1,Ringers,Garden
A_B38,34,1,Ringers,Garden
A_C1,34,1,LPS,Garden
A_C2,34,1,LPS,Garden
A_C3,34,0,LPS,Garden
A_C4,34,0,LPS,Garden
A_C5,34,0,LPS,Garden
A_C6,34,1,LPS,Garden
A_C7,34,1,LPS,Garden
A_C8,34,1,LPS,Garden
A_C9,34,1,LPS,Garden
A_C10,34,1,LPS,Garden
A_C11,34,1,LPS,Garden
A_C12,34,1,LPS,Garden
A_C13,34,1,LPS,Garden
A_C14,34,1,LPS,Garden
A_C15,34,1,LPS,Garden
A_C16,34,0,LPS,Garden
A_C17,34,1,LPS,Garden
A_C18,34,1,LPS,Garden
A_C19,34,1,LPS,Garden
A_C20,34,0,LPS,Garden
A_C21,34,1,LPS,Garden
A_C22,34,0,LPS,Garden
A_C23,34,1,LPS,Garden
A_C24,34,0,LPS,Garden
A_C25,34,1,LPS,Garden
A_C26,34,1,LPS,Garden
A_C27,34,0,LPS,Garden
A_C28,34,1,LPS,Garden
