date,hive,treatment,colour,bees_introduced,emergence_time,time_finished_emerged,mode_of_exit,,Test start 5.04
26.5.19,Zoology,LPS CHC,Pink,48,305,1057,Self-removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,365,368,Assisted self-removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,399,446,Assisted self-removal,,
26.5.19,Zoology,LPS CHC,Pink,48,612,619,Self-removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,626,659,Assisted self-removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,666,674,Assisted self-removal,,
15.6.19,Arts,Ringer CHC,Pink,70,781,1924,Self-removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,926,926,Forced removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,972,972,Self-removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,982,990,Forced removal,,
26.5.19,Zoology,LPS CHC,Pink,48,1012,1012,Assisted self-removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1018,1024,Self-removal,,
26.5.19,Zoology,LPS CHC,Pink,48,1039,1044,Forced removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1047,1047,Flew,,
15.6.19,Arts,Ringer CHC,Pink,70,1141,1144,Self-removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1147,1161,Assisted self-removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1233,1247,Forced removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1301,1342,Forced removal,,
15.6.19,Arts,Ringer CHC,Pink,70,1336,1341,Self-removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,1377,1387,Assisted self-removal,,
26.5.19,Zoology,LPS CHC,Pink,48,1438,1440,Forced removal,,
26.5.19,Zoology,LPS CHC,Pink,48,1457,1464,Forced removal,,
26.5.19,Zoology,LPS CHC,Pink,48,1485,1485,Forced removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,1545,1548,Forced removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,1582,1610,Forced removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,1610,1610,Forced removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,1611,1612,Forced removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1692,1699,Forced removal,,
7.6.19,SkyLab,Ringer CHC,Dark Blue,100,1764,1765,Forced removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1787,1803,Self-removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1804,1806,Forced removal,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,1835,reentered,Forced removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,1931,1934,Flew,,
15.6.19,Arts,LPS CHC,Dark Blue,70,2020,2023,Assisted self-removal,,
26.5.19,Zoology,LPS CHC,Pink,48,2059,2176,Assisted self-removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,2081,2088,Flew,,
15.6.19,Arts,Ringer CHC,Pink,70,2010,2030,Forced removal,,
7.6.19,SkyLab,LPS CHC,Pink,100,2124,2161,Self-removal,,
15.6.19,Arts,LPS CHC,Dark Blue,70,2156,2161,Self-removal,,
26.5.19,Zoology,LPS CHC,Pink,48,2459,2459,Flew,,
7.6.19,SkyLab,Ringer CHC,Dark Blue,100,2621,2628,reentered,,
15.6.19,Arts,Ringer CHC,Pink,70,2715,2715,Flew,,
15.6.19,Arts,Ringer CHC,Pink,70,2728,2731,Flew,,
26.5.19,Zoology,Ringer CHC,Dark Blue,50,2931,3133,Self-removal,,
7.6.19,SkyLab,Ringer CHC,Dark Blue,100,2831,2944,Flew,,
15.6.19,Arts,LPS CHC,Dark Blue,70,3057,NA,NA,,
15.6.19,Arts,LPS CHC,Dark Blue,70,3104,3105,NA,,
26.5.19,Zoology,LPS CHC,Pink,48,3527,reentered,Self-removal,,
28.6.19,Garden,LPS CHC,Dark Blue,75,913,NA,self,,
28.6.19,Garden,LPS CHC,Dark Blue,75,1038,NA,forced,,
28.6.19,Garden,Ringer CHC,Pink,75,1106,NA,self,,
28.6.19,Garden,LPS CHC,Dark Blue,75,1133,NA,self,,
28.6.19,Garden,LPS CHC,Dark Blue,75,1277,NA,forced,,
28.6.19,Garden,Ringer CHC,Pink,75,3018,NA,self,,
28.6.19,Garden,LPS CHC,Dark Blue,75,31803,NA,assisted,,
