date,hive,treatment,colour,total,emergence_time,end_of_emergence,mode_of_exit
30.04.19,SkyLab,HT_LPS,Blue,63,378,645,Self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,415,702,Self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,416,420,Forced removal
30.04.19,SkyLab,HT_LPS,Blue,63,540,994,Wind
30.04.19,SkyLab,HT_LPS,Blue,63,542,995,Wind
30.04.19,SkyLab,HT_LPS,Blue,63,685,692,Assisted self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,746,763,Assisted self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,783,811,Assisted self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,835,?,?
30.04.19,SkyLab,HT_LPS,Blue,63,1338,2013,Self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,1352,1369,Assisted Self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,1762,1762,Flew
30.04.19,SkyLab,HT_LPS,Blue,63,1795,?,?
30.04.19,SkyLab,HT_LPS,Blue,63,44.28,?,?
30.04.19,SkyLab,HT_LPS,Blue,63,2668,3108,Self-removal
30.04.19,SkyLab,HT_LPS,Blue,63,?,918,Self-removal
30.04.19,SkyLab,LPS,Green,45,414,439,Divine intervention
30.04.19,SkyLab,LPS,Green,45,416,425,Self-removal
30.04.19,SkyLab,LPS,Green,45,517,526,Self-removal
30.04.19,SkyLab,LPS,Green,45,518,825,Self-removal
30.04.19,SkyLab,LPS,Green,45,590,688,Assisted Self-removal
30.04.19,SkyLab,LPS,Green,45,619,632,Forced removal
30.04.19,SkyLab,LPS,Green,45,17,1031,Self-removal
30.04.19,SkyLab,LPS,Green,45,1113,?,?
30.04.19,SkyLab,LPS,Green,45,1128,1144,Self-removal
30.04.19,SkyLab,LPS,Green,45,1587,1590,Flew
30.04.19,SkyLab,Unstabbed,Red,107,518,521,Wind
30.04.19,SkyLab,Unstabbed,Red,107,741,806,Wind
30.04.19,SkyLab,Unstabbed,Red,107,?,520,Self-removal
30.04.19,SkyLab,Unstabbed,Red,107,?,537,Self-removal
30.04.19,SkyLab,Unstabbed,Red,107,372,387,Self-removal
03.05.19,Garden,Unstabbed,Blue,86,870,NA,Attempted re-entry blocked 9.15
03.05.19,Garden,Unstabbed,Blue,86,1050,NA,NA
