tube,V1,V2,V3
A1,1,1,0
A2,2,0,0
A3,0,1,1
A4,1,0,0
A5,0,0,0
A6,2,2,0
A7,2,1,0
A8,2,1,1
A9,2,1,1
A10,1,1,0
A11,1,1,0
A12,1,0,0
A13,2,0,0
A14,1,1,2
A15,1,1,1
A16,0,0,1
A17,0,1,0
A18,1,0,0
A19,0,0,0
A20,0,0,0
A21,0,0,0
A22,1,0,0
A23,1,0,0
A24,0,0,1
A25,1,1,0
A26,0,0,0
A27,2,1,1
A28,0,0,0
A29,1,0,2
A30,0,1,0
A31,0,0,0
A32,0,1,0
B1,0,1,0
B2,0,0,0
B3,1,1,1
B4,1,0,1
B5,0,0,0
B6,0,0,0
B7,1,1,0
B8,1,0,0
B9,0,1,1
B10,1,2,0
B11,2,1,0
B12,0,0,0
B13,0,0,0
B14,0,2,0
B15,0,0,0
B16,0,0,0
B17,0,0,0
B18,2,2,1
C1,0,1,0
C2,1,1,0
C3,1,0,0
C4,1,2,2
C5,1,0,0
C6,2,0,0
C7,1,0,0
C8,0,0,0
C9,1,1,1
C10,1,1,0
C11,2,0,0
D1,1,0,1
D2,0,0,0
D3,0,0,1
D4,1,1,1
D5,2,1,0
D6,1,0,0
D7,2,1,1
D8,0,1,0
D9,1,2,1
D10,1,0,0
D11,1,1,0
D12,0,1,1
D13,1,0,1
D14,1,1,1
D15,0,0,0
D16,2,2,1
D17,1,1,0
D18,1,1,0
D19,0,0,0
D20,1,1,0
D21,0,1,0
D22,1,1,0
D23,0,0,0
D24,1,0,0
D25,0,0,0
D26,2,0,1
D27,0,0,0
D28,1,1,0
D29,1,1,1
D30,0,0,0
D31,0,1,0
D32,0,1,0
D33,2,0,0
D34,1,1,0
D35,1,1,0
D36,1,0,0
D37,1,1,0
D38,0,0,0
D39,2,0,1
