tube,V1,V2,V3
A1,1,0,0
A2,0,1,1
A3,2,1,0
A4,2,1,1
A5,1,2,1
A6,2,1,1
A7,1,1,1
A8,0,1,0
A9,0,0,0
A10,0,0,0
A11,1,0,1
A12,2,2,1
A13,0,1,1
A14,0,1,0
A15,1,1,0
A16,0,0,0
A17,2,1,1
A18,1,2,1
A19,0,1,0
A20,2,1,1
A21,2,1,0
A22,2,1,1
A23,1,1,0
A24,1,0,0
A25,0,0,0
A26,0,0,0
A27,1,1,0
A28,1,1,0
A29,1,0,0
A30,0,0,0
A31,2,1,1
A32,2,1,0
A33,2,1,1
A34,1,1,1
A35,0,0,0
A36,0,1,0
A37,1,0,0
B1,2,0,0
B2,0,0,0
B3,1,0,1
B4,0,0,0
B5,1,1,1
B6,2,0,0
B7,0,1,1
B8,1,1,0
B9,1,0,1
B10,2,1,1
B11,1,1,1
B12,0,0,0
B13,1,1,1
C1,0,0,0
C2,1,1,0
C3,0,0,0
C4,2,0,0
C5,2,1,1
C6,1,0,1
C7,1,1,1
C8,0,1,0
C9,0,0,0
C10,0,1,0
C11,0,1,1
C12,0,1,0
C13,1,1,0
C14,0,0,0
C15,1,1,0
C16,2,1,1
C17,0,0,0
D1,2,0,1
D2,2,2,1
D3,1,1,1
D4,0,1,0
D5,0,1,0
D6,0,1,0
D7,1,0,0
D8,2,2,0
D9,0,0,1
D10,2,0,1
D11,0,0,0
D12,0,0,0
D13,1,1,0
D14,0,0,0
D15,1,0,0
D16,0,0,0
D17,2,1,0
D18,1,0,0
D19,1,1,0
D20,2,0,1
D21,0,1,0
D22,1,1,0
D23,0,0,0
D24,0,1,0
D25,2,0,0
D26,1,0,0
D27,1,1,0
D28,2,1,1
D29,1,0,0
D30,0,1,0
D31,1,1,0
D32,2,2,0
D33,1,0,0
